,id,id0,std,lat,lon,IX,IY,station
0,0,14,938.2749364770256,40.669167,-73.356111,2794,1215,Great_South_Bay_at_Lindenhurst_NY
1,1,1,970.69313692045,40.593333,-73.58416700000002,2590,1268,Reynolds_Channel_at_Point_Lookout_NY
2,2,21,970.7379437633259,40.810001,-73.764999,2617,1551,Kings_Point_NY
3,3,5,971.1606086243872,40.6275,-73.57583299999997,2620,1292,Hudson_Bay_at_Freeport_NY
4,4,11,986.830927207556,40.365556,-73.974722,2174,1271,Shrewsbury_River_at_Sea_Bright_NJ
5,5,2,987.585838964308,39.761111,-74.108056,1672,815,Barnegat_Bay_at_Barnegat_Light_NJ
6,6,4,993.5179841769068,40.593056,-73.737778,2487,1347,East_Rockaway_Inlet_at_Atlantic_Beach_NY
7,7,26,1004.4180765070894,40.466667,-74.010002,2220,1378,Sandy_Hook_NJ
8,8,19,1009.5165991198807,40.700001,-74.014999,2376,1585,The_Battery_NY
9,9,3,1021.442177822767,40.04,-74.052222,1899,1027,Barnegat_Bay_at_Mantoloking_NJ
10,10,10,1027.0717932004943,40.573611,-73.88555600000002,2376,1407,Rockaway_Inlet_near_Floyd_Bennett_Field_NY
11,11,22,1028.9504886739753,41.173332,-73.181664,3251,1570,Bridgeport_CT
12,12,28,1029.3457629661334,40.639999,-74.14666700000002,2247,1601,Bergen_Point_West_Reach_NY
13,13,0,1038.1422217224354,40.617222,-73.758333,2490,1379,Jamaica_Bay_at_Inwood_NY
14,14,15,1089.4850111764931,41.283333,-72.908333,3507,1528,New_Haven_CT
15,15,7,1095.9807918510637,39.508889,-74.324722,1352,708,Little_Egg_Inlet_near_Tuckerton_NJ
16,16,6,1118.5428634907742,41.65083,-73.945,3072,2380,Hudson_River_below_Poughkeepsie_NY
17,17,9,1154.7670646568386,39.4225,-74.49972199999998,1176,725,Absecon_Creek__Rte_30_at_Absecon_NJ
18,18,18,1155.9581287446554,39.355,-74.418335,1183,623,Atlantic_City_NJ
19,19,27,1184.1362132945094,41.048332,-71.959999,3985,841,Montauk_NY
20,20,16,1259.64040250575,41.355,-72.08667,4104,1177,New_London_CT
21,21,12,1273.8731806045878,42.64611,-73.74806,3879,3151,Hudson_River_at_Albany_NY
22,22,23,1342.5636722874954,41.505001,-71.32666800000001,4713,933,Newport_RI
23,23,13,1386.10411608021,41.806667,-71.40166500000002,4862,1241,Providence_RI
24,24,25,1386.7241984779594,41.285,-70.09666700000001,5403,133,Nantucket_MA
25,25,20,1410.46146226514,38.96833400000001,-74.959999,550,578,Cape_May_NJ
26,26,17,1437.100245190244,38.781666,-75.120003,314,504,Lewes_DE
27,27,24,1450.6378360463268,38.328333,-75.091667,18,96,Ocean_City_Inlet_MD
28,28,8,1469.3472186312486,39.231667,-75.033056,684,846,Maurice_River_at_Bivalve_NJ
29,29,29,1504.5853801044825,39.379167,-75.355278,570,1148,Cohancey_River_at_Greenwich_NJ
